Postinmr,Keskineliöhinta,1v-muutosprosentti,5v-muutosprosentti
00140,8713,2%,29%
00120,8160,6%,27%
00220,7871,N/A,N/A
00130,7825,-4%,23%
00100,7575,3%,24%
00160,7208,10%,23%
00250,6966,5%,25%
00270,6792,5%,27%
00510,6651,8%,31%
00200,6589,8%,31%
00280,6281,12%,25%
00560,5997,4%,23%
00570,5789,6%,28%
00610,5742,6%,27%
00320,5525,8%,22%
00810,5368,4%,23%
02120,5185,8%,21%
00800,5090,4%,24%
00350,4996,5%,18%
02150,4844,5%,22%
00790,4583,0%,15%
02170,4533,2%,13%
00850,4473,6%,5%
02240,4458,22%,15%
00400,4411,5%,16%
02130,4271,3%,13%
00340,4243,-8%,5%
33180,4137,-1%,12%
02700,4065,7%,13%
01510,4054,3%,7%
33100,4043,4%,23%
02230,4023,4%,11%
00670,3977,8%,12%
02750,3937,8%,13%
00830,3906,0%,16%
00660,3874,0%,14%
00440,3864,3%,11%
02660,3807,2%,9%
01120,3754,N/A,N/A
00630,3726,3%,7%
33500,3642,7%,25%
33230,3612,5%,16%
02140,3603,19%,16%
20520,3576,4%,29%
02280,3563,0%,9%
01690,3554,4%,10%
00690,3510,8%,N/A
02630,3482,2%,6%
00730,3471,2%,6%
01640,3447,9%,16%
02450,3424,5%,12%
20810,3398,3%,26%
02810,3384,11%,N/A
00910,3376,-2%,8%
01610,3353,12%,17%
02730,3325,8%,1%
00780,3313,2%,2%
02770,3291,14%,13%
01380,3282,1%,8%
02780,3276,10%,21%
33250,3256,0%,19%
02210,3220,2%,9%
00600,3207,1%,10%
53130,3192,N/A,30%
02940,3172,5%,9%
33900,3149,22%,29%
02720,3140,3%,0%
01390,3122,-1%,4%
02360,3075,6%,13%
70300,3062,19%,30%
00920,2998,0%,12%
00760,2959,2%,4%
00710,2946,7%,13%
00930,2933,-7%,-20%
02620,2913,4%,8%
01230,2898,0%,10%
01350,2872,1%,10%
40100,2842,2%,5%
33920,2821,N/A,0%
02710,2796,4%,7%
40500,2759,31%,27%
04310,2737,11%,11%
01450,2715,3%,7%
00750,2684,-7%,-1%
70840,2683,6%,7%
01150,2666,7%,11%
04430,2660,-3%,-2%
04330,2634,16%,9%
00740,2626,-1%,1%
90100,2620,1%,9%
04400,2614,5%,-1%
80220,2574,3%,12%
01710,2572,1%,-3%
01280,2570,3%,1%
04250,2546,3%,1%
53900,2521,3%,2%
05810,2514,2%,8%
37560,2499,6%,13%
06400,2478,13%,18%
33580,2468,3%,8%
33560,2462,6%,9%
15110,2435,-6%,-3%
01620,2422,6%,-1%
02480,2420,-2%,-7%
90140,2417,7%,12%
33520,2411,1%,12%
90130,2401,5%,13%
40600,2393,14%,15%
04410,2382,-2%,-2%
33300,2373,6%,17%
01800,2357,4%,5%
15160,2343,1%,3%
65100,2337,-2%,-1%
00770,2321,12%,9%
21280,2308,0%,4%
33730,2292,-2%,-1%
90670,2278,5%,87%
04130,2266,13%,1%
21290,2257,5%,28%
39160,2252,6%,10%
37550,2237,14%,15%
01820,2224,4%,-2%
95980,2219,N/A,N/A
90230,2198,-4%,-3%
80100,2191,7%,-2%
96190,2184,26%,40%
21620,2177,0%,11%
50970,2161,-4%,-2%
04320,2159,1%,-2%
01840,2149,-7%,-8%
37140,2131,3%,5%
01200,2128,0%,-5%
90530,2124,4%,4%
13270,2118,-1%,1%
20760,2113,14%,8%
04230,2109,-3%,-5%
96100,2104,12%,11%
96300,2099,7%,11%
13100,2089,2%,-12%
20880,2078,10%,13%
33450,2064,2%,0%
10600,2060,6%,-7%
08150,2059,-8%,7%
20380,2048,9%,10%
02460,2042,-2%,0%
60120,2030,24%,20%
80110,2023,-3%,-11%
20780,1997,0%,7%
60320,1995,4%,9%
99130,1991,-9%,-10%
67300,1987,0%,3%
80710,1985,-3%,2%
60510,1983,7%,3%
33410,1976,14%,22%
60720,1966,28%,8%
70620,1961,6%,4%
40530,1958,-6%,-3%
40270,1951,1%,5%
90630,1940,2%,17%
06450,1935,12%,5%
05830,1933,-3%,-6%
95970,1933,-1%,-14%
37500,1924,0%,0%
33420,1921,-1%,20%
05100,1914,4%,5%
20320,1912,3%,8%
60200,1897,-5%,-7%
73310,1889,N/A,N/A
04500,1884,9%,-6%
96400,1877,18%,15%
21110,1874,-1%,6%
08680,1864,19%,14%
95400,1861,20%,10%
08500,1854,3%,-5%
41310,1844,2%,13%
99830,1837,21%,9%
50100,1822,-6%,-11%
67200,1813,11%,-1%
65450,1811,N/A,N/A
96200,1803,-3%,3%
67400,1800,-6%,2%
05840,1797,6%,-4%
96460,1795,0%,8%
36110,1794,-6%,-2%
13880,1781,8%,N/A
95900,1770,-6%,69%
80230,1760,-6%,4%
21250,1757,2%,-8%
48310,1751,2%,-4%
10210,1746,5%,0%
07700,1737,-10%,-10%
90440,1731,1%,4%
21200,1729,6%,10%
13300,1723,-10%,-6%
37150,1717,1%,3%
15700,1700,0%,3%
02580,1696,3%,-2%
13130,1690,-7%,-21%
40420,1677,6%,18%
21210,1674,1%,18%
15800,1665,12%,1%
21500,1659,-2%,7%
15150,1656,0%,-7%
33880,1643,-1%,-7%
05900,1639,-2%,-13%
90240,1623,5%,3%
90150,1618,6%,8%
50190,1601,34%,-15%
15320,1591,-12%,0%
80330,1581,-7%,-19%
11130,1576,20%,12%
70200,1569,4%,-12%
07900,1556,4%,0%
03250,1555,-9%,-13%
60800,1551,7%,7%
87200,1548,5%,9%
80400,1541,9%,3%
15950,1536,1%,-6%
70150,1533,-3%,-16%
65610,1528,-5%,-12%
08700,1524,1%,-7%
21380,1519,17%,10%
21260,1512,-1%,-12%
53500,1507,-13%,-16%
26100,1501,-4%,5%
10900,1499,0%,10%
40950,1490,0%,0%
28130,1484,-4%,8%
57130,1478,7%,-21%
02410,1474,2%,-9%
90830,1464,3%,7%
95450,1462,-2%,-6%
48100,1457,-4%,-2%
88610,1448,4%,-16%
15210,1446,-12%,-1%
90460,1440,-4%,-3%
90250,1430,-6%,15%
92100,1426,14%,9%
07230,1421,N/A,-16%
23310,1409,N/A,31%
20360,1399,4%,8%
50170,1393,-9%,-7%
45120,1388,-2%,0%
40930,1379,N/A,5%
15300,1367,-8%,-16%
66400,1365,2%,-1%
53200,1361,-9%,-11%
90900,1360,22%,0%
11910,1356,-29%,-21%
60150,1352,11%,-8%
41340,1348,-10%,-13%
28610,1342,-3%,-5%
21530,1341,7%,1%
10300,1333,11%,-12%
93600,1330,7%,-7%
84100,1324,-4%,-12%
23100,1320,-3%,5%
90800,1314,-9%,-7%
63610,1312,N/A,N/A
33850,1310,-1%,6%
90550,1294,-8%,-7%
65350,1290,-4%,-15%
53810,1286,0%,-13%
53300,1279,1%,-16%
68600,1271,-6%,-2%
20240,1266,6%,10%
62900,1263,23%,26%
45100,1257,-8%,-15%
34130,1255,27%,N/A
57100,1245,-19%,-24%
20460,1238,0%,8%
13600,1232,-2%,-20%
40820,1224,59%,6%
12310,1221,5%,-15%
18100,1217,0%,-12%
41160,1212,34%,2%
24800,1206,4%,6%
21570,1192,4%,-3%
92140,1189,-15%,-14%
10650,1188,-15%,17%
50500,1187,3%,-25%
90580,1186,2%,15%
36600,1184,-15%,-17%
28400,1183,-4%,-7%
27100,1179,-12%,-8%
10960,1179,-2%,-16%
90810,1173,-7%,-5%
24130,1169,2%,-10%
53950,1165,0%,-13%
30100,1163,1%,-7%
96910,1157,-14%,-17%
91100,1154,6%,-5%
37600,1151,-5%,-5%
05880,1148,-3%,-23%
15880,1143,-17%,-23%
49400,1137,-8%,-5%
45370,1124,-18%,-19%
10620,1123,17%,-5%
15840,1116,-11%,-14%
37830,1113,10%,3%
12700,1105,1%,-19%
85500,1103,-3%,-10%
99600,1103,18%,0%
74120,1101,5%,-17%
14500,1099,-3%,-23%
08800,1093,-13%,N/A
07920,1077,-14%,-15%
95430,1073,7%,-14%
27800,1066,-6%,-18%
48400,1063,0%,-16%
27510,1062,-1%,-10%
25700,1061,2%,-6%
44100,1057,-8%,-10%
14300,1052,N/A,-19%
15860,1051,-9%,-15%
09120,1047,N/A,13%
31600,1046,1%,-6%
40900,1042,-14%,-12%
86300,1039,23%,-4%
48600,1035,-4%,-10%
61300,1034,-10%,-12%
12400,1027,1%,-18%
70460,1012,-9%,-25%
68500,1011,N/A,N/A
31300,1008,-12%,-21%
30420,1003,-11%,-12%
48770,998,11%,-12%
15830,994,-3%,-21%
27230,992,11%,-3%
23600,988,3%,-8%
16900,983,16%,-12%
32700,978,1%,-9%
96440,972,36%,-8%
15500,970,-7%,-16%
34600,966,17%,8%
41660,958,N/A,2%
27820,956,63%,N/A
32200,952,-11%,-30%
87500,945,-9%,-17%
10440,943,N/A,N/A
25500,939,11%,-4%
43500,935,35%,-1%
31760,929,13%,-12%
61800,927,-17%,-20%
68660,923,-8%,10%
10420,922,6%,5%
18150,915,-3%,1%
12100,910,-14%,-21%
50160,907,12%,-17%
75530,902,-16%,8%
45160,901,-9%,-24%
25410,896,-2%,4%
45150,886,-9%,-14%
03620,877,N/A,-19%
92150,873,N/A,-9%
31500,868,-6%,-19%
29600,864,-13%,-28%
43100,861,1%,-22%
65370,856,8%,-12%
21800,850,-5%,-8%
40340,847,-16%,-17%
07940,835,N/A,-16%
57200,825,-3%,-37%
28190,822,-8%,-18%
45740,819,-9%,-4%
85800,817,-14%,-24%
44150,814,-11%,-16%
58200,806,-7%,-22%
52300,801,-14%,-34%
36760,787,-34%,N/A
46800,784,9%,-15%
57210,777,-10%,-35%
38710,774,0%,-47%
34800,771,-3%,-20%
81200,767,-12%,-2%
49460,763,14%,-2%
88900,758,-5%,-10%
48900,754,-5%,-15%
56100,750,-36%,-34%
29200,746,12%,-10%
49420,745,-6%,-23%
28800,728,7%,1%
62375,725,-16%,-21%
18130,724,-11%,5%
73100,717,-9%,-28%
17800,714,-16%,-8%
78400,708,1%,-16%
76120,707,22%,-27%
19650,701,14%,-17%
72400,687,18%,-4%
32800,675,-19%,-32%
17500,671,N/A,-4%
75500,659,-5%,-21%
55700,655,3%,-20%
78870,653,-24%,-32%
35800,641,3%,-11%
74300,637,11%,-30%
52700,634,-17%,-29%
78200,631,-6%,-26%
82500,619,-11%,-37%
83500,612,-2%,-22%
55800,611,10%,-18%
72210,607,N/A,N/A
18200,604,9%,-20%
81700,598,-11%,-31%
72600,594,32%,-28%
32440,587,N/A,N/A
55610,584,5%,-20%
47710,579,N/A,N/A
76150,571,-11%,-30%
83700,553,-19%,-38%
85900,549,N/A,-50%
52200,541,N/A,-27%
76850,530,N/A,N/A
89600,528,-24%,-39%
