,Osoite,Vmh,Pinta-ala,URL,Postinmr,Kaupunki,Keskineliöhinta,1v-muutosprosentti,5v-muutosprosentti,Reitti Kökkeliin,Reitti töihin
0,Eetinkuja 3 N 56,319000,89.0,https://www.etuovi.com/kohde/q86867,02360, Espoo,3075,6%,13%,36.0,58.0
1,Yläkartanontie 20,246000,99.0,https://www.etuovi.com/kohde/20851887,02360, Espoo,3075,6%,13%,41.0,58.0
2,Soukan rantatie 8,329000,79.5,https://www.etuovi.com/kohde/21510332,02360, Espoo,3075,6%,13%,42.0,53.0
3,Alakartanontie 6,289000,99.5,https://www.etuovi.com/kohde/21212094,02360, Espoo,3075,6%,13%,41.0,59.0
4,Soukankuja 2,249000,100.0,https://www.etuovi.com/kohde/20321157,02360, Espoo,3075,6%,13%,45.0,57.0
5,Puosunrinne 3,219500,94.0,https://www.etuovi.com/kohde/20292548,02320, Espoo,3146,1%,6%,38.0,56.0
6,Merivalkama 1,219000,99.0,https://www.etuovi.com/kohde/21041052,02320, Espoo,3146,1%,6%,21.0,59.0
7,Aallonhuippu 3 A 4,185000,96.5,https://www.etuovi.com/kohde/21060847,02320, Espoo,3146,1%,6%,27.0,37.0
8,Maininkitie 9,202000,102.0,https://www.etuovi.com/kohde/21445128,02320, Espoo,3146,1%,6%,29.0,59.0
9,Maininkitie 14 B 32,268629,98.0,https://www.etuovi.com/kohde/q77697,02320, Espoo,3146,1%,6%,24.0,62.0
10,Ristiaallokonkatu 4,229000,94.0,https://www.etuovi.com/kohde/20734044,02320, Espoo,3146,1%,6%,26.0,62.0
11,Maininkitie 16,279000,98.0,https://www.etuovi.com/kohde/21914779,02320, Espoo,3146,1%,6%,25.0,59.0
12,Kivenlahdenkatu 10,195000,99.0,https://www.etuovi.com/kohde/20310198,02320, Espoo,3146,1%,6%,21.0,58.0
13,Krattivuorentie 12,338500,87.0,https://www.etuovi.com/kohde/21251093,02320, Espoo,3146,1%,6%,46.0,63.0
14,Merivalkama 4 C,227000,100.0,https://www.etuovi.com/kohde/q44949,02320, Espoo,3146,1%,6%,22.0,59.0
15,Maininkitie 12,283000,98.0,https://www.etuovi.com/kohde/q43392,02320, Espoo,3146,1%,6%,26.0,59.0
16,Sepetlahdentie 10,225000,94.0,https://www.etuovi.com/kohde/20901831,02230, Espoo,4023,4%,11%,52.0,63.0
17,Kalastajanmäki 5,275000,78.5,https://www.etuovi.com/kohde/20727616,02230, Espoo,4023,4%,11%,48.0,63.0
