Osoite,Vmh,Pinta-ala,URL,Postinmr
"Eetinkuja 3 N 56, Kaitaa, Espoo",319 000 €,89 m²,https://www.etuovi.com/kohde/q86867?haku=P1548857208,02360
"Puosunrinne 3, Espoonlahti, Espoo",219 500 €,94 m²,https://www.etuovi.com/kohde/20292548?haku=P1548857208,02320
"Merivalkama 1, Kivenlahti, Espoo",219 000 €,99 m²,https://www.etuovi.com/kohde/21041052?haku=P1548857208,02320
"Aallonhuippu 3 A 4, Kivenlahti, Espoo",185 000 €,96.5 m²,https://www.etuovi.com/kohde/21060847?haku=P1548857208,02320
"Maininkitie 9, Espoonlahti, Espoo",202 000 €,102 m²,https://www.etuovi.com/kohde/21445128?haku=P1548857208,02320
"Yläkartanontie 20, Soukka, Espoo",246 000 €,99 m²,https://www.etuovi.com/kohde/20851887?haku=P1548857208,02360
"Maininkitie 14 B 32, Kivenlahti, Espoo","268 629,24 €",98 m²,https://www.etuovi.com/kohde/q77697?haku=P1548857208,02320
"Ristiaallokonkatu 4, Kivenlahti, Espoo",229 000 €,94 m²,https://www.etuovi.com/kohde/20734044?haku=P1548857208,02320
"Maininkitie 16, Kivenlahti, Espoo",279 000 €,98 m²,https://www.etuovi.com/kohde/21914779?haku=P1548857208,02320
"Jälkimaininki 9, Kivenlahti, Espoo",285 000 €,75 m²,https://www.etuovi.com/kohde/1294744?haku=P1548857208,00000
"Soukan rantatie 8, Soukka, Espoo",329 000 €,79.5 m²,https://www.etuovi.com/kohde/21510332?haku=P1548857208,02360
"Kivenlahdenkatu 10, Kivenlahti, Espoo",195 000 €,99 m²,https://www.etuovi.com/kohde/20310198?haku=P1548857208,02320
"Alakartanontie 6, Soukka, Espoo",289 000 €,99.5 m²,https://www.etuovi.com/kohde/21212094?haku=P1548857208,02360
"Krattivuorentie 12, Laurinlahti, Espoo",338 500 €,87 m²,https://www.etuovi.com/kohde/21251093?haku=P1548857208,02320
"Soukankuja 2, Soukka, Espoo",249 000 €,100 m²,https://www.etuovi.com/kohde/20321157?haku=P1548857208,02360
"Sepetlahdentie 10, Matinkylä, Espoo",225 000 €,94 m²,https://www.etuovi.com/kohde/20901831?haku=P1548857208,02230
"Merivalkama 4 C, Kivenlahti, Espoo",227 000 €,100 m²,https://www.etuovi.com/kohde/q44949?haku=P1548857208,02320
"Kalastajanmäki 5, Matinkylä, Espoo",275 000 €,78.5 m²,https://www.etuovi.com/kohde/20727616?haku=P1548857208,02230
"Maininkitie 12, Kivenlahti, Espoo",283 000 €,98 m²,https://www.etuovi.com/kohde/q43392?haku=P1548857208,02320
